d0,d1,d2,d3,d4,l1,d0/l1,d1/l1,d2/l1,d3/l1,d4/l1,slopes,mass
4.3,1.4,1.3,2.8,1.4,15.4,0.279220779,0.090909091,0.084415584,0.181818182,0.090909091,0.059065107,0.000891399
4.5,2.1,1.5,2.9,2.8,24.4,0.18442623,0.086065574,0.06147541,0.118852459,0.114754098,0.037414409,0.0019269
3.8,2.6,1.9,1.4,1.6,23.6,0.161016949,0.110169492,0.080508475,0.059322034,0.06779661,0.031591248,0.001313982
4.2,2.1,2.8,1.8,1.7,18.5,0.227027027,0.113513514,0.151351351,0.097297297,0.091891892,0.048086635,0.001190022
4.8,2.8,1.6,2.8,2.4,24.4,0.196721311,0.114754098,0.06557377,0.114754098,0.098360656,0.040121626,0.00210742
4.1,1.7,2.4,1.6,1.9,21.3,0.192488263,0.079812207,0.112676056,0.075117371,0.089201878,0.038338365,0.001277088
3.1,2.5,1.3,1.3,2.7,22.6,0.137168142,0.110619469,0.057522124,0.057522124,0.119469027,0.028651012,0.001064127
4.7,2.8,1.2,1.8,2.8,19.6,0.239795918,0.142857143,0.06122449,0.091836735,0.142857143,0.050278596,0.001501913
4.1,2.7,1.1,1.7,1.8,21.7,0.188940092,0.124423963,0.050691244,0.078341014,0.082949309,0.037066957,0.001299929
3.4,1.2,1.4,2.5,2.5,20.3,0.167487685,0.0591133,0.068965517,0.123152709,0.123152709,0.034108073,0.001000804
3.8,1.5,1.4,2.8,1.2,22.6,0.168141593,0.066371681,0.061946903,0.123893805,0.053097345,0.032502884,0.00121001
4.2,1.5,2.2,2.2,1.6,20.4,0.205882353,0.073529412,0.107843137,0.107843137,0.078431373,0.041263648,0.001242859
3.2,1.7,2.2,2.3,2.7,22.8,0.140350877,0.074561404,0.096491228,0.100877193,0.118421053,0.030489734,0.001206253
3.8,1.9,2.9,2.4,2.9,17.8,0.213483146,0.106741573,0.162921348,0.134831461,0.162921348,0.050618738,0.001178768
3.2,2.2,1.2,2.1,2.4,21.7,0.147465438,0.101382488,0.055299539,0.096774194,0.110599078,0.030650529,0.00103293
3.9,1.4,2.7,1.7,1.1,22.7,0.171806167,0.061674009,0.118942731,0.074889868,0.04845815,0.033190838,0.0012518
4.6,1.5,1.7,1.2,1.4,15.6,0.294871795,0.096153846,0.108974359,0.076923077,0.08974359,0.059585886,0.000903524
3.7,1.2,2.6,1.4,2.6,18.1,0.20441989,0.066298343,0.143646409,0.077348066,0.143646409,0.042733311,0.000978715
4.6,2.8,2.9,2.5,2.6,23.3,0.197424893,0.120171674,0.124463519,0.107296137,0.111587983,0.042931144,0.002050378
4.2,2.8,1.1,1.6,2.4,19.6,0.214285714,0.142857143,0.056122449,0.081632653,0.12244898,0.044068438,0.001253057
3.1,1.5,2.2,2.9,1.5,22.2,0.13963964,0.067567568,0.099099099,0.130630631,0.067567568,0.029726668,0.001066225
4.7,1.6,1.4,2.4,1.7,22.6,0.207964602,0.07079646,0.061946903,0.10619469,0.075221239,0.040074197,0.001583007
4.9,2.2,2.7,2.5,1.9,19.3,0.25388601,0.113989637,0.139896373,0.129533679,0.098445596,0.054449487,0.001583622
4.1,1.6,1.9,1.9,2.3,20.9,0.196172249,0.076555024,0.090909091,0.090909091,0.110047847,0.03936639,0.001255633
3.1,1.3,1.7,1.7,2.5,22.4,0.138392857,0.058035714,0.075892857,0.075892857,0.111607143,0.027824383,0.000958697
4.2,1.5,1.8,2.1,2.5,16.6,0.253012048,0.090361446,0.108433735,0.126506024,0.15060241,0.053926172,0.001000757
3.6,2.4,2.4,2.1,2.6,18.5,0.194594595,0.12972973,0.12972973,0.113513514,0.140540541,0.044577417,0.001104826
3.3,2.9,1.6,1.4,2.9,22.8,0.144736842,0.127192982,0.070175439,0.061403509,0.127192982,0.0313638,0.001270917
3.6,2.7,1.3,2.9,2.6,20.6,0.174757282,0.131067961,0.063106796,0.140776699,0.126213592,0.038612001,0.001291125
4.1,1.4,1.7,2.6,2.7,21.2,0.193396226,0.066037736,0.080188679,0.122641509,0.127358491,0.039506104,0.001375058
3.2,2.6,1.2,1.1,1.4,20.9,0.153110048,0.124401914,0.057416268,0.052631579,0.066985646,0.02985574,0.00085293
3.2,1.1,1.1,1.4,1.7,21.7,0.147465438,0.050691244,0.050691244,0.064516129,0.078341014,0.027443662,0.000772857
3.9,1.1,2.5,1.1,2.7,20.7,0.188405797,0.053140097,0.120772947,0.053140097,0.130434783,0.037086641,0.001190523
4.2,2.2,1.9,1.2,2.7,22.4,0.1875,0.098214286,0.084821429,0.053571429,0.120535714,0.037410593,0.001460996
4.9,2.1,2.5,1.4,1.2,21,0.233333333,0.1,0.119047619,0.066666667,0.057142857,0.045586369,0.001559108
4.3,2.6,2.4,1.9,2.4,16.5,0.260606061,0.157575758,0.145454545,0.115151515,0.145454545,0.059290185,0.001125556
3.9,2.5,2.9,1.3,2.5,21.8,0.178899083,0.114678899,0.133027523,0.059633028,0.114678899,0.037752342,0.001444451
3.8,2.2,2.5,2.9,1.9,22.2,0.171171171,0.099099099,0.112612613,0.130630631,0.085585586,0.037093013,0.00145394
3.5,1.8,1.1,2.8,1.3,24,0.145833333,0.075,0.045833333,0.116666667,0.054166667,0.02799524,0.00119028
4.6,1.5,2.3,2.7,2.5,16.7,0.275449102,0.089820359,0.137724551,0.161676647,0.149700599,0.061289009,0.001213615
4.1,1.7,2.9,1.4,1.1,23.3,0.175965665,0.072961373,0.124463519,0.060085837,0.0472103,0.033771547,0.001405998
3.9,2.9,2.6,2.4,2.4,18.3,0.213114754,0.158469945,0.142076503,0.131147541,0.131147541,0.05022496,0.001258994
3.4,1.8,2.3,2.7,1.2,19.2,0.177083333,0.09375,0.119791667,0.140625,0.0625,0.037701259,0.000971643
4.8,1.1,2.4,1.8,2.7,22.2,0.216216216,0.04954955,0.108108108,0.081081081,0.121621622,0.042540596,0.001711147
3.5,2.3,1.7,2.5,1.7,21.8,0.160550459,0.105504587,0.077981651,0.114678899,0.077981651,0.033313264,0.001160446
4.8,2.2,1.3,1.7,1.9,21.1,0.227488152,0.104265403,0.061611374,0.08056872,0.090047393,0.044503224,0.0014997
3.5,1.7,2.8,1.2,2.8,17.3,0.202312139,0.098265896,0.161849711,0.069364162,0.161849711,0.044924417,0.000937817
4.5,1.6,1.5,2.7,1.4,15.6,0.288461538,0.102564103,0.096153846,0.173076923,0.08974359,0.061312421,0.000969818
4.1,2.4,2.7,2.6,2.1,19.8,0.207070707,0.121212121,0.136363636,0.131313131,0.106060606,0.045988895,0.001393966
4.1,1.3,2.2,2.2,1.4,24.3,0.16872428,0.053497942,0.090534979,0.090534979,0.057613169,0.032401546,0.001440889
4.6,1.6,2.6,1.6,1.6,16.6,0.277108434,0.096385542,0.156626506,0.096385542,0.096385542,0.05806377,0.001084927
3.7,1.8,2.3,2.4,1.6,20.3,0.18226601,0.088669951,0.113300493,0.118226601,0.078817734,0.037969939,0.001121068
3.8,1.3,2.2,1.6,1.7,23.7,0.160337553,0.054852321,0.092827004,0.067510549,0.071729958,0.03072776,0.001231533
4.6,1.8,1.9,2.9,2.5,23.2,0.198275862,0.077586207,0.081896552,0.125,0.107758621,0.04043559,0.001822636
3.4,1.8,2.7,2.3,2.2,20.6,0.165048544,0.087378641,0.131067961,0.111650485,0.106796117,0.036396503,0.001141896
3.6,1.2,2.6,1.9,2.2,21.2,0.169811321,0.056603774,0.122641509,0.089622642,0.103773585,0.034610687,0.001139005
4.1,2.9,2.6,1.3,1.8,21.7,0.188940092,0.133640553,0.119815668,0.059907834,0.082949309,0.038678357,0.001445053
3.2,2.4,2.2,1.7,2.2,23.3,0.137339056,0.103004292,0.094420601,0.072961373,0.094420601,0.029217879,0.001177191
3.8,2.7,1.4,2.2,1.9,17.2,0.220930233,0.156976744,0.081395349,0.127906977,0.110465116,0.047850316,0.000963826
4.3,2.9,1.2,2.5,2.5,16.6,0.259036145,0.174698795,0.072289157,0.15060241,0.15060241,0.0585276,0.001141863
4.9,1.5,2.5,2.4,2.6,18,0.272222222,0.083333333,0.138888889,0.133333333,0.144444444,0.058784215,0.001432345
4.2,1.8,1.9,1.6,1.1,16.9,0.24852071,0.106508876,0.112426036,0.094674556,0.065088757,0.049755548,0.000916366
4.9,1.2,1.6,1.4,2.5,17.6,0.278409091,0.068181818,0.090909091,0.079545455,0.142045455,0.05621602,0.001221768
4.9,1.1,2.9,1.3,1.4,22.6,0.216814159,0.048672566,0.128318584,0.057522124,0.061946903,0.041390329,0.00167905
4.2,1.1,1.5,1.8,2.7,16.4,0.256097561,0.067073171,0.091463415,0.109756098,0.164634146,0.053117927,0.000945526
4.5,1.5,2.6,2.8,2.4,22.7,0.198237885,0.066079295,0.114537445,0.123348018,0.105726872,0.041053538,0.001763052
4.6,1.1,1.5,1.4,2.3,16.1,0.285714286,0.068322981,0.093167702,0.086956522,0.142857143,0.058047988,0.000978057
3.3,1.4,1.5,2.9,2.9,18.8,0.175531915,0.074468085,0.079787234,0.154255319,0.154255319,0.038980786,0.001004957
3.7,2.9,1.5,2.9,1.6,17.4,0.212643678,0.166666667,0.086206897,0.166666667,0.091954023,0.047851087,0.001028341
3.5,1.3,1.7,2.5,1.9,19.1,0.183246073,0.068062827,0.089005236,0.130890052,0.09947644,0.037638114,0.000927474
4.6,1.5,2.7,2.5,2.9,16,0.2875,0.09375,0.16875,0.15625,0.18125,0.066931804,0.001200681
4.8,1.3,2.3,1.3,2.1,21.5,0.223255814,0.060465116,0.106976744,0.060465116,0.097674419,0.043175148,0.001533895
4.7,2.7,2.4,1.5,2.9,20.9,0.224880383,0.129186603,0.114832536,0.071770335,0.138755981,0.047688623,0.001704395
3.7,2.4,1.5,2.5,2.5,19.4,0.190721649,0.12371134,0.077319588,0.128865979,0.128865979,0.041476205,0.001148184
4.6,2.1,1.7,2.9,1.3,20.7,0.222222222,0.101449275,0.082125604,0.140096618,0.062801932,0.044761427,0.001490901
4.4,2.9,2.8,2.1,2.4,17.6,0.25,0.164772727,0.159090909,0.119318182,0.136363636,0.057995637,0.001337461
4.7,1.1,1.9,2.2,2.1,24.5,0.191836735,0.044897959,0.07755102,0.089795918,0.085714286,0.036477586,0.001766333
3.1,1.6,2.2,1.2,1.9,21.7,0.142857143,0.073732719,0.101382488,0.055299539,0.087557604,0.028431445,0.000889045
4.1,1.2,2.6,2.2,2.3,23.9,0.171548117,0.050209205,0.108786611,0.092050209,0.09623431,0.034090973,0.001565104
3.8,2.5,1.7,1.8,2.7,16.6,0.228915663,0.15060241,0.102409639,0.108433735,0.162650602,0.051657499,0.000961039
3.5,2.4,1.1,2.6,1.8,18.2,0.192307692,0.131868132,0.06043956,0.142857143,0.098901099,0.040558862,0.000931245
4.8,1.7,1.2,2.8,2.4,17.1,0.280701754,0.099415205,0.070175439,0.16374269,0.140350877,0.059654506,0.001253058
3.6,2.9,1.1,1.6,1.9,18.2,0.197802198,0.159340659,0.06043956,0.087912088,0.104395604,0.041387254,0.000933977
3.5,1.4,2.2,1.3,1.1,16.1,0.217391304,0.086956522,0.136645963,0.080745342,0.068322981,0.043536646,0.000667072
4.6,1.9,1.7,2.5,2.8,21.3,0.215962441,0.089201878,0.079812207,0.117370892,0.131455399,0.044597698,0.001623602
3.1,2.7,2.8,1.1,2.6,19.2,0.161458333,0.140625,0.145833333,0.057291667,0.135416667,0.037123448,0.001027611
4.3,2.9,1.1,1.5,1.4,22.6,0.190265487,0.128318584,0.048672566,0.066371681,0.061946903,0.036494136,0.001423328
4.4,1.7,2.7,1.6,2.2,15.2,0.289473684,0.111842105,0.177631579,0.105263158,0.144736842,0.064355566,0.000969494
3.2,1.2,1.2,2.8,1.3,19.7,0.162436548,0.060913706,0.060913706,0.14213198,0.065989848,0.032243647,0.000823114
4.3,2.2,1.6,1.3,2.8,20.6,0.208737864,0.106796117,0.077669903,0.063106796,0.13592233,0.042374201,0.001355543
4.6,2.8,1.5,2.8,2.5,15.9,0.289308176,0.176100629,0.094339623,0.176100629,0.157232704,0.067557929,0.001190868
4.3,2.2,1.6,2.1,1.4,20.9,0.205741627,0.105263158,0.076555024,0.100478469,0.066985646,0.040505313,0.001298085
4.9,1.3,1.6,1.7,1.8,20.6,0.237864078,0.063106796,0.077669903,0.082524272,0.087378641,0.045973241,0.001434221
4.8,1.4,2.3,1.2,1.5,24.7,0.194331984,0.056680162,0.093117409,0.048582996,0.060728745,0.036187226,0.001737221
4.6,2.6,1.7,2.1,1.1,23.4,0.196581197,0.111111111,0.072649573,0.08974359,0.047008547,0.037794911,0.001661217
3.9,2.7,2.3,1.3,1.5,19,0.205263158,0.142105263,0.121052632,0.068421053,0.078947368,0.042240004,0.001089684
4.3,1.3,1.8,2.3,1.5,17.8,0.241573034,0.073033708,0.101123596,0.129213483,0.084269663,0.048834258,0.001045649
4.7,2.3,1.6,2.4,2.3,18.4,0.255434783,0.125,0.086956522,0.130434783,0.125,0.054116027,0.001359243
